Student number,What is your approximate overall GPA? Choose the appropriate range. ,What unit load are you planning to carry this Quarter?,Which statement best describes your preferred role in a project team? ,Which statement below best describes your usual behavior in a group project? ,"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Graphical Design (CAD, solid modeling)]","On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Analysis (physical, mathematical, computational)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Public Presentation/Communication],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Documentation (writing and organization)],"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Mechanical Skills (fabrication, machining)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Electronics/microprocessors/programming],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Welding],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Metal machining],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Woodworking],"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Powered Hand Tools (powered drills, saws, grinders, etc)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [3d-Printing],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Laser cutting],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1EPzcjlMKEWcoF7-uNIRbzxyhS_EX_DEBWe-aJIviwq0/edit?usp=sharing [1],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1EPzcjlMKEWcoF7-uNIRbzxyhS_EX_DEBWe-aJIviwq0/edit?usp=sharing [2],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1EPzcjlMKEWcoF7-uNIRbzxyhS_EX_DEBWe-aJIviwq0/edit?usp=sharing [3],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1EPzcjlMKEWcoF7-uNIRbzxyhS_EX_DEBWe-aJIviwq0/edit?usp=sharing [4],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1EPzcjlMKEWcoF7-uNIRbzxyhS_EX_DEBWe-aJIviwq0/edit?usp=sharing [5]
1,3.7-4,more than 16,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,5,5,5,3,1,5,1,1,1,2,1,2,1,12,3,15,5
2,3.3-3.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,4,3,3,3,4,3,2,3,4,4,4,2,1,12,3,2,13
3,3.3-3.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Helper - I like to mostly help other group members get their tasks completed.,4,1,5,4,4,2,1,1,4,5,4,1,1,13,14,1,1
4,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Helper - I like to mostly help other group members get their tasks completed.,3,4,2,3,3,3,1,2,2,3,1,1,1,15,3,6,14
5,3-3.29,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,3,3,3,2,1,1,1,1,1,1,1,1,1,2,9,11,8
6,2.7-2.99,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,5,5,5,5,1,2,1,1,1,2,1,1,1,3,5,13,15
7,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,4,5,5,3,2,1,1,1,4,1,1,1,3,8,7,13
8,3-3.29,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,3,4,4,3,3,2,2,3,4,4,4,1,5,13,3,4
9,2.3-2.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Coordinator - I prefer to assign tasks to myself and others.,3,4,5,5,3,3,3,2,2,3,3,3,10,11,9,6,4
10,2.0-2.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,4,3,4,4,3,2,1,3,3,4,4,1,10,9,8,3,14
11,2.3-2.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,3,3,4,4,3,3,2,2,2,5,2,2,10,9,8,7,14
12,3.3-3.69,more than 16,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,3,3,4,4,1,1,1,1,1,1,1,1,11,10,9,4,3
13,3-3.29,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,General Worker - I prefer to do what others in the group think is best for me to do.,4,2,4,5,4,2,4,2,5,5,1,1,11,4,14,7,1
