Student number,What is your approximate overall GPA? Choose the appropriate range. ,What unit load are you planning to carry this Quarter?,Which statement best describes your preferred role in a project team? ,Which statement below best describes your usual behavior in a group project? ,"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Graphical Design (CAD, solid modeling)]","On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Analysis (physical, mathematical, computational)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Public Presentation/Communication],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Documentation (writing and organization)],"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Mechanical Skills (fabrication, machining)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Electronics/microprocessors/programming],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Welding],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Metal machining],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Woodworking],"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Powered Hand Tools (powered drills, saws, grinders, etc)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [3d-Printing],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Laser cutting],first,second,third,fourth,fifth
1,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,4,3,5,4,1,2,2,1,5,5,5,1,3,2,8,9,6
2,3-3.29,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,General Worker - I prefer to do what others in the group think is best for me to do.,3,4,4,3,3,2,1,2,2,3,1,1,7,6,4,1,12
3,3.3-3.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,3,3,3,2,1,1,4,4,2,1,2,4,6,8,5
4,3.3-3.69,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,5,4,5,4,3,2,1,1,3,4,5,3,1,10,2,5,3
5,2.7-2.99,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,4,3,4,1,3,1,1,1,2,1,1,7,5,6,10,2
6,3-3.29,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Helper - I like to mostly help other group members get their tasks completed.,5,4,4,5,4,3,1,2,4,5,5,4,1,6,10,2,8
7,2.7-2.99,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,2,4,4,4,1,1,1,1,1,2,1,1,1,3,10,9,6
8,3.7-4,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Coordinator - I prefer to assign tasks to myself and others.,3,4,4,4,2,2,1,1,2,2,1,1,1,10,5,3,9
9,3.7-4,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Helper - I like to mostly help other group members get their tasks completed.,5,4,4,4,5,5,5,5,5,5,5,5,8,8,8,11,6
10,3.3-3.69,more than 16,No Preference -- I enjoy all roles in group projects without any substantial preference.,Helper - I like to mostly help other group members get their tasks completed.,3,3,4,3,2,2,1,1,2,2,2,1,4,3,8,6,10
11,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,3,3,4,5,5,1,2,4,5,5,3,7,6,10,11,2
12,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,3,4,4,2,1,2,4,4,4,1,2,6,4,7,3
13,2.7-2.99,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,5,2,4,4,5,3,1,3,3,3,5,3,10,10,10,10,10
14,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,2,4,4,2,3,2,3,3,4,2,2,9,4,1,3
15,3-3.29,more than 16,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,3,4,3,2,1,4,1,1,1,2,1,1,11,9,10,1,7
16,2.7-2.99,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Focused Worker - I like to focus on completing my own tasks.,5,3,4,3,3,5,1,1,4,4,3,5,7,5,2,11,10
17,3.7-4,more than 16,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,4,3,4,4,2,2,2,2,2,2,10,7,3,1,2
18,3-3.29,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,5,4,3,2,3,2,3,4,3,2,10,3,1,5,2
19,2.7-2.99,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Coordinator - I prefer to assign tasks to myself and others.,3,4,5,4,1,1,1,1,2,2,1,1,1,11,3,9,8
20,3-3.29,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Helper - I like to mostly help other group members get their tasks completed.,3,3,4,4,3,3,1,1,3,3,4,5,6,1,8,7,4
21,3.3-3.69,more than 16,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,3,3,4,4,2,2,4,2,2,2,2,2,12,7,6,2,4
22,2.7-2.99,16-Dec,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,3,3,3,4,3,1,1,3,4,5,1,4,6,8,2,3
23,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Helper - I like to mostly help other group members get their tasks completed.,4,3,2,3,3,2,1,1,3,3,3,1,7,7,7,7,8
24,2.3-2.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Coordinator - I prefer to assign tasks to myself and others.,4,4,4,4,3,4,2,2,2,5,4,1,1,2,6,8,3
25,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,3,3,4,2,1,1,1,4,3,2,6,2,4,7,1
26,2.7-2.99,more than 16,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,5,3,3,4,5,5,5,5,5,5,5,5,8,7,6,1,2
27,3.7-4,16-Dec,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,4,5,2,4,2,4,1,1,3,5,1,3,8,4,6,12,7
28,3.3-3.69,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,3,2,2,3,1,2,1,1,2,2,1,1,7,6,11,10,5
29,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,4,4,1,2,4,4,3,1,2,4,2,2,4,6,7,2,5
30,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,1,3,3,3,2,1,1,1,3,3,2,1,6,7,4,8,1
31,3.3-3.69,more than 16,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,4,1,3,5,2,1,1,1,3,4,1,1,12,11,7,8,1
32,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,3,3,4,3,3,1,1,1,2,5,2,6,6,6,6,6
33,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,3,2,2,3,1,2,1,1,1,2,2,1,1,8,7,6,4
