Student number,What is your approximate overall GPA? Choose the appropriate range. ,What unit load are you planning to carry this Quarter?,Which statement best describes your preferred role in a project team? ,Which statement below best describes your usual behavior in a group project? ,"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Graphical Design (CAD, solid modeling)]","On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Analysis (physical, mathematical, computational)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Public Presentation/Communication],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Documentation (writing and organization)],"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Mechanical Skills (fabrication, machining)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Electronics/microprocessors/programming],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Welding],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Metal machining],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Woodworking],"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Powered Hand Tools (powered drills, saws, grinders, etc)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [3d-Printing],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Laser cutting],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1XxLUqNKeO0c1XdIDEEUb3DuGX7zSUCtuQtmRbpGg-7U/edit?usp=sharing [1],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1XxLUqNKeO0c1XdIDEEUb3DuGX7zSUCtuQtmRbpGg-7U/edit?usp=sharing [2],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1XxLUqNKeO0c1XdIDEEUb3DuGX7zSUCtuQtmRbpGg-7U/edit?usp=sharing [3],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1XxLUqNKeO0c1XdIDEEUb3DuGX7zSUCtuQtmRbpGg-7U/edit?usp=sharing [4],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1XxLUqNKeO0c1XdIDEEUb3DuGX7zSUCtuQtmRbpGg-7U/edit?usp=sharing [5]
1,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,4,3,5,4,1,2,2,1,5,5,5,1,Project 3,Project 2,Project 8,Project 9,Project 6
2,3-3.29,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,General Worker - I prefer to do what others in the group think is best for me to do.,3,4,4,3,3,2,1,2,2,3,1,1,Project 7,Project 6,Project 4,Project 1,Project 12
3,3.3-3.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,3,3,3,2,1,1,4,4,2,1,Project 2,Project 4,Project 6,Project 8,Project 5
4,3.3-3.69,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,5,4,5,4,3,2,1,1,3,4,5,3,Project 1,Project 10,Project 2,Project 5,Project 3
5,2.7-2.99,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,4,3,4,1,3,1,1,1,2,1,1,Project 7,Project 5,Project 6,Project 10,Project 2
6,3-3.29,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Helper - I like to mostly help other group members get their tasks completed.,5,4,4,5,4,3,1,2,4,5,5,4,Project 1,Project 6,Project 10,Project 2,Project 8
7,2.7-2.99,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,2,4,4,4,1,1,1,1,1,2,1,1,Project 1,Project 3,Project 10,Project 9,Project 6
8,3.7-4,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Coordinator - I prefer to assign tasks to myself and others.,3,4,4,4,2,2,1,1,2,2,1,1,Project 1,Project 10,Project 5,Project 3,Project 9
9,3.7-4,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Helper - I like to mostly help other group members get their tasks completed.,5,4,4,4,5,5,5,5,5,5,5,5,Project 8,Project 8,Project 8,Project 11,Project 6
10,3.3-3.69,more than 16,No Preference -- I enjoy all roles in group projects without any substantial preference.,Helper - I like to mostly help other group members get their tasks completed.,3,3,4,3,2,2,1,1,2,2,2,1,Project 4,Project 3,Project 8,Project 6,Project 10
11,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,3,3,4,5,5,1,2,4,5,5,3,Project 7,Project 6,Project 10,Project 11,Project 2
12,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,3,4,4,2,1,2,4,4,4,1,Project 2,Project 6,Project 4,Project 7,Project 3
13,2.7-2.99,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,5,2,4,4,5,3,1,3,3,3,5,3,Project 10,Project 10,Project 10,Project 10,Project 10
14,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,2,4,4,2,3,2,3,3,4,2,Project 2,Project 9,Project 4,Project 1,Project 3
15,3-3.29,more than 16,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,3,4,3,2,1,4,1,1,1,2,1,1,Project 11,Project 9,Project 10,Project 1,Project 7
16,2.7-2.99,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Focused Worker - I like to focus on completing my own tasks.,5,3,4,3,3,5,1,1,4,4,3,5,Project 7,Project 5,Project 2,Project 11,Project 10
17,3.7-4,more than 16,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,4,3,4,4,2,2,2,2,2,2,Project 10,Project 7,Project 3,Project 1,Project 2
18,3-3.29,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,5,4,3,2,3,2,3,4,3,2,Project 10,Project 3,Project 1,Project 5,Project 2
19,2.7-2.99,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Coordinator - I prefer to assign tasks to myself and others.,3,4,5,4,1,1,1,1,2,2,1,1,Project 1,Project 11,Project 3,Project 9,Project 8
20,3-3.29,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Helper - I like to mostly help other group members get their tasks completed.,3,3,4,4,3,3,1,1,3,3,4,5,Project 6,Project 1,Project 8,Project 7,Project 4
21,3.3-3.69,more than 16,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,3,3,4,4,2,2,4,2,2,2,2,2,Project 12,Project 7,Project 6,Project 2,Project 4
22,2.7-2.99,16-Dec,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,3,3,3,4,3,1,1,3,4,5,1,Project 4,Project 6,Project 8,Project 2,Project 3
23,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Helper - I like to mostly help other group members get their tasks completed.,4,3,2,3,3,2,1,1,3,3,3,1,Project 7,Project 7,Project 7,Project 7,Project 8
24,2.3-2.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Coordinator - I prefer to assign tasks to myself and others.,4,4,4,4,3,4,2,2,2,5,4,1,Project 1,Project 2,Project 6,Project 8,Project 3
25,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,3,3,4,2,1,1,1,4,3,2,Project 6,Project 2,Project 4,Project 7,Project 1
26,2.7-2.99,more than 16,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,5,3,3,4,5,5,5,5,5,5,5,5,Project 8,Project 7,Project 6,Project 1,Project 2
27,3.7-4,16-Dec,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,4,5,2,4,2,4,1,1,3,5,1,3,Project 8,Project 4,Project 6,Project 12,Project 7
28,3.3-3.69,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,3,2,2,3,1,2,1,1,2,2,1,1,Project 7,Project 6,Project 11,Project 10,Project 5
29,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,4,4,1,2,4,4,3,1,2,4,2,2,Project 4,Project 6,Project 7,Project 2,Project 5
30,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,1,3,3,3,2,1,1,1,3,3,2,1,Project 6,Project 7,Project 4,Project 8,Project 1
31,3.3-3.69,more than 16,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,4,1,3,5,2,1,1,1,3,4,1,1,Project 12,Project 11,Project 7,Project 8,Project 1
32,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,3,3,4,3,3,1,1,1,2,5,2,Project 6,Project 6,Project 6,Project 6,Project 6
33,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,3,2,2,3,1,2,1,1,1,2,2,1,Project 1,Project 8,Project 7,Project 6,Project 4
