Student number,GPA,Units,Role,Behavior,Graphical Design,Analysis,Present/Communic,Documentation,Mechanical Skills,Electronics,Welding,Metal Machining,Woodworking,Power Tools,3D printing,Laser Cutting,Preference 1,Preference 2,Preference 3,Preference 1,Preference 4
1,3.7-4,more than 16,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,5,5,5,3,1,5,1,1,1,2,1,2,Project 1,Project 12,Project 3,Project 15,Project 5
2,3.3-3.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,4,3,3,3,4,3,2,3,4,4,4,2,Project 1,Project 12,Project 3,Project 2,Project 13
3,3.3-3.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Helper - I like to mostly help other group members get their tasks completed.,4,1,5,4,4,2,1,1,4,5,4,1,Project 1,Project 13,Project 14,Project 1,Project 1
4,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Helper - I like to mostly help other group members get their tasks completed.,3,4,2,3,3,3,1,2,2,3,1,1,Project 1,Project 15,Project 3,Project 6,Project 14
5,3-3.29,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,3,3,3,2,1,1,1,1,1,1,1,1,Project 1,Project 2,Project 9,Project 11,Project 8
6,2.7-2.99,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,5,5,5,5,1,2,1,1,1,2,1,1,Project 1,Project 3,Project 5,Project 13,Project 15
7,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,4,5,5,3,2,1,1,1,4,1,1,Project 1,Project 3,Project 8,Project 7,Project 13
8,3-3.29,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,3,4,4,3,3,2,2,3,4,4,4,Project 1,Project 5,Project 13,Project 3,Project 4
9,2.3-2.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Coordinator - I prefer to assign tasks to myself and others.,3,4,5,5,3,3,3,2,2,3,3,3,Project 10,Project 11,Project 9,Project 6,Project 4
10,2.0-2.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,4,3,4,4,3,2,1,3,3,4,4,1,Project 10,Project 9,Project 8,Project 3,Project 14
11,2.3-2.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,3,3,4,4,3,3,2,2,2,5,2,2,Project 10,Project 9,Project 8,Project 7,Project 14
12,3.3-3.69,more than 16,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,3,3,4,4,1,1,1,1,1,1,1,1,Project 11,Project 10,Project 9,Project 4,Project 3
13,3-3.29,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,General Worker - I prefer to do what others in the group think is best for me to do.,4,2,4,5,4,2,4,2,5,5,1,1,Project 11,Project 4,Project 14,Project 7,Project 1
14,2.7-2.99,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,5,4,4,5,3,4,3,3,4,4,4,4,Project 11,Project 4,Project 8,Project 10,Project 7
15,3.7-4,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,4,4,2,4,1,1,2,1,3,3,Project 13,Project 1,Project 3,Project 5,Project 14
16,3.7-4,more than 16,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,4,5,5,4,4,4,4,3,4,4,5,3,Project 13,Project 15,Project 13,Project 15,Project 1
17,3-3.29,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,3,4,4,4,2,2,1,1,3,3,1,1,Project 13,Project 3,Project 6,Project 14,Project 15
18,3.7-4,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Focused Worker - I like to focus on completing my own tasks.,4,4,5,5,4,4,1,4,4,5,5,2,Project 13,Project 5,Project 4,Project 10,Project 2
19,3.3-3.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,1,2,3,3,3,1,1,2,4,5,1,Project 14,Project 1,Project 2,Project 13,Project 3
20,3.7-4,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,3,1,2,3,3,3,1,1,3,3,3,2,Project 14,Project 14,Project 14,Project 14,Project 14
21,3.3-3.69,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,4,5,4,4,4,4,3,4,3,3,1,1,Project 14,Project 15,Project 13,Project 12,Project 11
22,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,5,4,2,5,4,3,3,3,4,4,2,3,Project 14,Project 4,Project 11,Project 9,Project 10
23,3-3.29,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,4,5,5,5,3,4,1,1,2,4,2,1,Project 14,Project 9,Project 10,Project 12,Project 15
24,3.3-3.69,16-Dec,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,5,5,4,4,2,3,2,1,1,3,4,2,Project 15,Project 13,Project 2,Project 1,Project 4
25,3-3.29,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,5,4,3,1,4,5,1,1,4,4,5,1,Project 15,Project 2,Project 14,Project 6,Project 8
26,3.3-3.69,more than 16,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Coordinator - I prefer to assign tasks to myself and others.,5,4,4,5,4,5,2,3,3,4,5,5,Project 15,Project 4,Project 7,Project 13,Project 8
27,3.7-4,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,4,3,4,3,3,1,2,3,3,4,1,Project 2,Project 1,Project 6,Project 5,Project 7
